file,subject,test_date,location,bing_id,age,age_cat,gender,condition,book_order,dv_order,atypical,exp_error,interference,insuff_lang,familiarity,calibrate_1_yes,calibrate_1_no,calibrate_2_yes,calibrate_2_no,girlBoy_check,girlBoy_self,girlBoy_girl,girlBoy_boy,girlGirl_check,girlGirl_self,girlGirl_girl,girlGirl_boy,excep_check,excep_self,excep_girl,excep_boy,notes
storybook_20190508_01,1,5/8/2019,Bing,ba1108,5.2,5,male,original,girlBoy_girlGirl_excep,girlFirst,no,no,no,no,no,Really want to,No,Really want to,No,Yes,No,Sort of want to be,No,Yes,Really want to be,Really want to be,Really want to be,Yes,Really want to be,No,Really want to be,"""I hate writers"" at start of Jane Austen, ""I want to be a scientist that studies lizards... I want to be the same one as her"" at start of Joan Procter, ""I want to be a pilot"" long before Amelia Earhart, really wanted to read rest of the books, distracted by looking for Chia-wa"
storybook_20190510_01,2,5/10/2019,Bing,ba1107,5.3,5,male,original,girlGirl_girlBoy_excep,boyFirst,no,no,no,no,no,Really want to,No,Sort of want to,No,Yes,No,Sort of want to be,Really want to be,Yes,No,No,Sort of want to be,Yes,No,Really want to be,Want to be,
storybook_20190515_01,3,5/15/2019,Bing,ba963,5.0,5,female,original,girlBoy_girlGirl_excep,girlFirst,no,no,no,no,no,Want to,No,Want to,No,Yes,Want to be,Want to be,Want to be ,Yes,Want to be,Really want to be,Sort of want to be,Yes,No,"I don't know, it's up to you -> Sort of want to be",Really want to be,
storybook_20190517_01,4,5/17/2019,Bing,ba1102,5.6,5,female,original,excep_girlBoy_girlGirl,girlFirst,no,no,no,no,no,Really want to,Want to,Really want to,No,Yes,No,No,Really want to be,Yes,No,Really want to be,Sort of want to be,Yes,No,Sort of want to be,Want to be,"""Is she real? / Did she die? / Why do people die? Like Moses in the Bible?"""
storybook_20190520_01,5,5/20/2019,Bing,ba962,5.1,5,female,original,girlGirl_excep_girlBoy,boyFirst,no,yes,no,no,no,Really want to,No,Really want to,Really want to,Yes,,Really want to be,Really want to be,Yes,No,Really want to be,Really want to be,Yes,No,Really want to be,Really want to be,"girlGirl_boy: ""I think so, he's smiling"", girlBoy_self: exp skipped"
storybook_20190524_01,6,5/24/2019,Bing,ba1109,5.2,5,male,original,excep_girlGirl_girlBoy,boyFirst,no,no,no,no,no,Really want to,No,Really want to,,Yes,No,Really want to be,Really want to be,Yes,Really want to be,Really want to be,Really want to be,Yes,No,Really want to be,Really want to be,calibrate_2_no: exp skipped
storybook_20190524_02,7,5/24/2019,Bing,ba859,5.3,5,female,original,girlBoy_excep_girlGirl,boyFirst,no,no,no,no,no,Sort of want to,No,Really want to,No,I don't know,No,No,No,Yes,No,No,No,Yes,No,No,No,"girlBoy_self: ""No, I want to be an artist"""
storybook_20190529_01,8,5/29/2019,Bing,ba887,5.1,5,male,original,excep_girlBoy_girlGirl,girlFirst,no,no,no,no,no,Want to,No,Want to,No,No,No,Really want to be,Want to be ,Yes,No,Want to be,Want to be,Yes,No,Really want to be,Want to be,"girlBoy_self: ""No, I want to be a pilot"", girlBoy_check: ""because if you write a book, it takes a long time to write a book, like a year, a few years"", girlBoy_boy: ""because he's smiling"""
storybook_20190617_01,9,6/17/2019,Bing,ba689,6.0,6,female,original,excep_girlGirl_girlBoy,girlFirst,no,no,no,no,no,Want to,No,Really want to,No,Yes,Really want to be,Want to be ,No,Yes,Sort of want to be,Want to be,Really want to be,Yes,Want to be,No,Really want to be,
storybook_20190618_01,10,6/18/2019,Bing,ba1134,5.2,5,male,original,girlGirl_excep_girlBoy,boyFirst,no,yes,no,no,no,Really want to,No,Really want to,No,Yes,No,No,No,Yes,Really want to be,Really want to be,No,Yes,No,No,No,"girlGirl_self after girlGirl_boy and girlGirl_girl, excep_self: ""No, sounds too fly-y"", excep_girl: ""No, she might get scared of heights"", girlBoy_self: ""No, I don't really know how to write"", girlBoy_boy: ""No, he might get too tired"""
storybook_20190619_01,11,6/19/2019,Bing,ba974,5.0,5,female,original,girlGirl_girlBoy_excep,boyFirst,no,no,no,no,no,Really want to,No,Really want to,No,Yes,No,No,No,Yes,Really want to be,No,No,Yes,No,No,No,"girlGirl: ""I love dragons and princesses!"", girlBoy_self: ""No, I want to just be a human"", excep_self: ""No, I want to be a mermaid"", asked about lots of details"
storybook_20190619_02,12,6/19/2019,Bing,ba1093,6.4,6,female,original,excep_girlBoy_girlGirl,girlFirst,no,no,no,no,yes,Really want to,No,Want to,No,Yes,No,Sort of want to be,Want to be,Yes,No,Sort of want to be,Really want to be,Yes,No,No,Want to be,"read Amelia Earhart (exceptionalism), Jane Austen (girlBoy) and Joan Procter (girlGirl) last night, excep_boy: ""I can tell"""
storybook_20190619_03,13,6/19/2019,Bing,ba1124,5.0,5,male,original,girlGirl_excep_girlBoy,boyFirst,no,no,no,no,no,Really want to,No,Really want to,No,Yes,No,No,No,Yes,Really want to be,No,No,Yes,No,No,No,"girlGirl_self, excep_self: ""I want to be a scientist of dinosaurs!"""
storybook_20190619_04,14,6/19/2019,Bing,ba1131,5.4,5,female,original,girlGirl_excep_girlBoy,boyFirst,no,yes,no,no,no,Really want to,No,Really want to,No,Yes,Sort of want to be,No,Really want to be,Yes,Sort of want to be,Sort of want to be,Want to be,Yes,I don't know,I don't know,Want to be,
storybook_20190620_01,15,6/20/2019,Bing,ba1047,5.4,5,female,original,girlGirl_excep_girlBoy,boyFirst,no,no,no,no,no,Want to,No,Want to,No,Yes,No,Want to be ,No,Yes,No,No,No,Yes,No,No,Really want to be,"girlGirl_self: ""I want to be a ballerina"", excep_boy: ""cause he kind of looks like he's flying"""
storybook_20190620_02,16,6/20/2019,Bing,ba907,5.1,5,male,original,girlBoy_excep_girlGirl,girlFirst,no,no,no,no,no,Really want to,,Really want to,No,Yes,No,No,Really want to be,Yes,No,No,Really want to be,Yes,No,Really want to be,No,
